"NTD ID","Agency","Reporter Type","Organization Type","City","State","Report Year","Agency VOMS","UACE Code","UZA Name","Primary UZA Area Sq Miles","Primary UZA Population","Service Area Sq Miles","Service Area Population","Actual Vehicle/Passenger Car Miles","Actual Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Deadhead Miles","Scheduled Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Hours","Actual Vehicle/Passenger Car Revenue Hours","Actual Vehicle/Passenger Car Deadhead Hours","Charter Service Hours","School Bus Hours","Trains in Operation","Train Miles","Train Revenue Miles","Train Deadhead Miles","Train Hours","Train Revenue Hours","Train Deadhead Hours","Unlinked Passenger Trips (UPT)","ADA UPT","Sponsored Service UPT","Passenger Miles Traveled","Directional Route Miles"
"70205","Blue Valley Community Action Partnership, dba: Fillmore County Transit","Rural Reporter","Private-Non-Profit Corporation","Geneva","NE","2024","3",,,"0",,,,,"31,374",,,,"1,915",,,,,,,,,,,"5,918",,"206",,
"70206","Kingman County, dba: Kingman County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Kingman","KS","2024","2",,,"0",,,,,"26,317",,,,"1,194",,,,,,,,,,,"991",,"0",,
"70208","Marshall County","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Marysville","KS","2024","4",,,"0",,,,,"50,780",,,,"1,511",,,,,,,,,,,"6,649",,"0",,
"70209","Four County, dba: Four County Transit","Rural Reporter","Private-Non-Profit Corporation","Independence","KS","2024","24",,,"0",,,,,"603,121",,,,"33,495",,,,,,,,,,,"39,808",,"22,906",,
"70210","Rice County, dba: Quivira Transit","Rural Reporter","Private-Non-Profit Corporation","Lyons","KS","2024","4",,,"0",,,,,"99,050",,,,"6,026",,,,,,,,,,,"8,410",,"572",,
"70211","City of Lamar","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Lamar","MO","2024","3",,,"0",,,,,"46,500",,,,"2,730",,,,,,,,,,,"18,912",,"0",,
"70212","Cedar County Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Hartington","NE","2024","11",,,"0",,,,,"373,931",,,,"13,938",,,,,,,,,,,"13,231",,"355",,
"70213","Nemaha County, dba: Nemaha County General Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Seneca","KS","2024","7",,,"0",,,,,"97,386",,,,"5,676",,,,,,,,,,,"24,746",,"2,243",,
"70214","City of Columbus Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Columbus","NE","2024","5",,,"0",,,,,"27,356",,,,"2,741",,,,,,,,,,,"7,438",,"0",,
"70215","City of Goodland, dba: Goodland Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Goodland","KS","2024","1",,,"0",,,,,"16,525",,,,"598",,,,,,,,,,,"6,217",,"0",,
"70216","Avera Creighton Hospital, dba: Avera Creighton Hospital Transportation Services","Rural Reporter","Private-Non-Profit Corporation","Yankton","SD","2024","5",,,"0",,,,,"149,022",,,,"5,532",,,,,,,,,,,"3,611",,"2,669",,
"70217","Southeast Iowa Regional Planning Commission, dba: Southeast Iowa Bus","Rural Reporter","MPO, COG or Other Planning Agency","West Burlington","IA","2024","25",,,"0",,,,,"339,148",,,,"32,192",,,,,,,,,,,"119,136",,"87,234",,
"70218","Wabaunsee County","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Alma","KS","2024","5",,,"0",,,,,"64,698",,,,"2,513",,,,,,,,,,,"3,090",,"0",,
"70219","Region Six Planning Commission, dba: Peoplerides","Rural Reporter","MPO, COG or Other Planning Agency","Marshalltown","IA","2024","13",,,"0",,,,,"180,348",,,,"11,113",,,,,,,,,,,"42,221",,"32,904",,
"70220","Avera St.Anthony's Hospital, dba: Avera St. Anthony's Hospital Transportation System","Rural Reporter","Private-Non-Profit Corporation","Oneill","NE","2024","5",,,"0",,,,,"61,075",,,,"1,083",,,,,,,,,,,"11,464",,"2,157",,
"70221","Southern Iowa Trolley","Rural Reporter","Independent Public Agency or Authority of Transit Service","Creston","IA","2024","25",,,"0",,,,,"279,443",,,,"35,011",,,,,,,,,,,"79,362",,"26,613",,
"70222","Coffey County","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Burlington","KS","2024","8",,,"0",,,,,"261,887",,,,"10,513",,,,,,,,,,,"16,597",,"2,983",,
"70223","Senior Information Center York, dba: York County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","York","NE","2024","5",,,"0",,,,,"49,700",,,,"2,041",,,,,,,,,,,"13,439",,"863",,
"70224","Region 12 Council of Governments, dba: Western Iowa Transit","Rural Reporter","MPO, COG or Other Planning Agency","Carroll","IA","2024","49",,,"0",,,,,"716,296",,,,"24,401",,,,,,,,,,,"100,288",,"86,342",,
"70225","Franklin County, dba: Franklin County Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Ottawa","KS","2024","4",,,"0",,,,,"43,461",,,,"3,855",,,,,,,,,,,"10,391",,"0",,
"70226","Class LTD","Rural Reporter","Private-Non-Profit Corporation","Columbus","KS","2024","9",,,"0",,,,,"158,153",,,,"6,558",,,,,,,,,,,"46,049",,"0",,
"70227","City of Liberal, dba: Liberal City Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Liberal","KS","2024","5",,,"0",,,,,"151,692",,,,"10,621",,,,,,,,,,,"26,818",,"445",,
"70228","Harper County, dba: Harper County Public Transportation Services","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Anthony","KS","2024","4",,,"0",,"47","61,929",,"64,247",,,,"3,695",,,,,,,,,,,"9,490",,"0",,
"70232","City Of McCook Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mc Cook","NE","2024","2",,,"0",,,,,"15,392",,,,"1,288",,,,,,,,,,,"5,764",,"122",,
"70233","Wayne Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Wayne","NE","2024","4",,,"0",,,,,"12,136",,,,"745",,,,,,,,,,,"6,109",,"138",,
"70235","Cowley County, dba: Cowley County Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Winfield","KS","2024","5",,,"0",,"184","236,373",,"41,414",,,,"3,119",,,,,,,,,,,"8,176",,"0",,
"70238","Harvey County, dba: Harvey Interurban Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Newton","KS","2024","5",,,"0",,,,,"69,075",,,,"2,913",,,,,,,,,,,"5,062",,"1,883",,
"70240","Regional Transit Authority, dba: Rides","Rural Reporter","Private-Non-Profit Corporation","Spencer","IA","2024","58",,,"0",,,,,"688,103",,,,"49,575",,,,,,,,,,,"115,665",,"79,721",,
"70241","City of Russell, dba: The Russell Ride","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Russell","KS","2024","2",,,"0",,,,,"22,334",,,,"1,636",,,,,,,,,,,"13,024",,"3,418",,
"70242","10-15 Regional Transit Agency, dba: 10-15 Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Ottumwa","IA","2024","93",,,"0",,,,,"2,498,713",,,,"134,121",,,,,,,,,,,"273,144",,"160,059",,
"70244","City of Benkelman","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Benkelman","NE","2024","1",,,"0",,,,,"1,659",,,,"1,902",,,,,,,,,,,"1,578",,"0",,
"70245","Community Senior Service Center, dba: Community Senior Service Center Transportation","Rural Reporter","Private-Non-Profit Corporation","Osawatomie","KS","2024","3",,,"0",,,,,"34,584",,,,"2,184",,,,,,,,,,,"9,841",,"0",,
"70246","Seward County Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Seward","NE","2024","4",,,"0",,,,,"67,338",,,,"2,931",,,,,,,,,,,"11,730",,"719",,
"70247","City  of Crawford, dba: Crawford Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Crawford","NE","2024","2",,,"0",,,,,"10,233",,,,"1,327",,,,,,,,,,,"5,226",,"0",,
"70248","Lyon County, dba: Lyon County Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Emporia","KS","2024","9",,,"0",,,,,"182,025",,,,"14,507",,,,,,,,,,,"31,739",,"617",,
"70250","Clay County Task Force","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Clay Center","KS","2024","3",,,"0",,,,,"55,094",,,,"2,117",,,,,,,,,,,"8,871",,"0",,
"70251","The Guidance Center","Rural Reporter","Private-Non-Profit Corporation","Leavenworth","KS","2024","5",,,"0",,,,,"71,597",,,,"5,589",,,,,,,,,,,"25,774",,"0",,
"70253","Saunders County Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Wahoo","NE","2024","1",,,"0",,,,,"13,736",,,,"950",,,,,,,,,,,"2,575",,"382",,
"70255","Solomon Valley, dba: Solomon Valley Transportation","Rural Reporter","Private-Non-Profit Corporation","Beloit","KS","2024","7",,,"0",,,,,"186,978",,,,"5,597",,,,,,,,,,,"7,885",,"26",,
"70256","Mid Iowa Development Association Council of Governments, dba: MIDAS Council of Governments","Rural Reporter","MPO, COG or Other Planning Agency","Fort Dodge","IA","2024","14",,,"0",,,,,"172,777",,,,"15,398",,,,,,,,,,,"101,186",,"28,619",,
"70257","Macon Area Chamber of Commerce","Rural Reporter","Private-Non-Profit Corporation","Macon","MO","2024","1",,,"0",,,,,"6,834",,,,"902",,,,,,,,,,,"2,112",,"0",,
"70258","Southwest Iowa Planning Council, dba: Southwest Iowa Transit Agency","Rural Reporter","Independent Public Agency or Authority of Transit Service","Atlantic","IA","2024","73",,,"0",,,,,"1,859,107",,,,"111,053",,,,,,,,,,,"540,712",,"275,295",,
"70259","Futures Unlimited, dba: Wellington Area Local Transit","Rural Reporter","Private-Non-Profit Corporation","Wellington","KS","2024","3",,,"0",,,,,"44,116",,,,"4,838",,,,,,,,,,,"16,654",,"136",,
"70260","City of Mason City, dba: Mason City Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mason City","IA","2024","12",,,"0",,,,,"210,261",,,,"18,102",,,,,,,,,,,"137,481",,,,
"70263","SERVE, Inc.","Rural Reporter","Private-Non-Profit Corporation","Fulton","MO","2024","12",,,"0",,,,,"230,559",,,,"14,929",,,,,,,,,,,"26,829",,"0",,
"70265","City of  Chadron","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Chadron","NE","2024","3",,,"0",,,,,"24,339",,,,"3,396",,,,,,,,,,,"16,668",,"11",,
"70266","City of Kingman, dba: Kingman General Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Kingman","KS","2024","2",,,"0",,,,,"13,252",,,,"2,481",,,,,,,,,,,"8,790",,"0",,
"70267","Project Concern, dba: Project Concern Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Atchison","KS","2024","2",,,"0",,,,,"25,844",,,,"3,570",,,,,,,,,,,"6,006",,"765",,
"70268","Gove County, dba: Gove County Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Quinter","KS","2024","2",,,"0",,,,,"16,862",,,,"964",,,,,,,,,,,"1,760",,"0",,
"70271","Kansas City, City of Missouri, dba: Kansas City Streetcar","Full Reporter","City, County or Local Government Unit or Department of Transportation","Kansas City","MO","2024","4","43912","Kansas City, MO--KS","714.1","1,674,218","2","11,953","137,544","136,202","1,342","137,544","19,425","19,178","247",,,,"137,544","136,202","1,342","19,425","19,178","247","1,806,946",,,"2,667,925","3.92"
"70273","Sac and Fox Nation of Missouri, dba: General Public Transportation","Reduced Reporter","Tribe","Hiawatha","KS","2024","3","00020","Kansas Non-UZA","0","1,388,420",,,,"28,718",,,,"923",,,,,,,,,,,"929",,"175",,
"70274","City of Grand Island, dba: Central Ride Agency of Nebraska","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Grand Island","NE","2024","15","34246","Grand Island, NE","29.6","55,099","30","55,099",,"141,649",,,,"11,446",,,,,,,,,,,"28,115",,"0",,
"70275","Nebraska Department of Transportation","Full Reporter","State Government Unit or Department of Transportation","Lincoln","NE","2024","28","65269","Omaha, NE--IA","270.81","819,508","252","777,341","524,478","524,478","0",,"10,926","10,926","0","0","0",,,,,,,,"50,870",,,"2,164,299",
"70277","Linn County, dba: LIFTS","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Cedar Rapids","IA","2024","20","14752","Cedar Rapids, IA","86.03","192,844","717","229,033",,"235,865",,,,"20,789",,,,,,,,,,,"41,689",,"0",,
"77063","Ponca Tribe of Nebraska, dba: Ponca Express","Reduced Reporter","Tribe","Niobrara","NE","2024","16","00031","Nebraska Non-UZA","0","846,992",,,,"382,143",,,,"13,157",,,,,,,,,,,"17,433",,"0",,
"77069","Santee Sioux Nation","Reduced Reporter","Tribe","Niobrara","NE","2024","1","00031","Nebraska Non-UZA","0","846,992",,,,"29,809",,,,"1,640",,,,,,,,,,,"1,467",,"0",,
"77075","Prairie Band Potawatomi Nation, dba: PBPN General Public Transportation","Reduced Reporter","Tribe","Mayetta","KS","2024","8","00020","Kansas Non-UZA","0","1,388,420",,,,"129,677",,,,"3,156",,,,,,,,,,,"8,011",,"0",,
"77076","Rawlins County , dba: Rawlins County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Atwood","KS","2024","1",,,"0",,,,,"11,031",,,,"256",,,,,,,,,,,"2,455",,"0",,
"77077","Omaha Tribe of Nebraska, dba: Omaha Tribe Public Transit","Reduced Reporter","Tribe","Macy","NE","2024","7","00031","Nebraska Non-UZA","0","846,992",,,,"306,493",,,,"8,613",,,,,,,,,,,"10,041",,"933",,
"77078","Garden County, dba: Garden County Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Oshkosh","NE","2024","4",,,"0",,,,,"95,690",,,,"4,486",,,,,,,,,,,"6,498",,"2,941",,
"77079","Northeast Kansas Area Agency on Aging, dba: NEKAAA General Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Hiawatha","KS","2024","7",,,"0",,,,,"94,621",,,,"6,249",,,,,,,,,,,"9,943",,"1,016",,
"77082","Cheyenne County, dba: Cheyenne County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","St Francis","KS","2024","1",,,"0",,,,,"7,700",,,,"380",,,,,,,,,,,"3,060",,"0",,
"77083","Multi Community Diversified Services, Inc.","Rural Reporter","Private-Non-Profit Corporation","Mcpherson","KS","2024","5",,,"0",,,,,"30,572",,,,"5,190",,,,,,,,,,,"19,293",,"0",,
"77085","Nance Trans","Rural Reporter","Private-Non-Profit Corporation","Fullerton","NE","2024","3",,,"0",,,,,"59,605",,,,"1,269",,,,,,,,,,,"2,392",,"1,625",,
"77086","New Bourbon Regional Port Authority","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Perryville","MO","2024","1",,,"0",,,,,"1,267",,,,"867",,,,,,,,,,,"3,333",,,,
"77087","Callaway District Hospital, dba: Callaway District Hospital Public Transportation","Rural Reporter","Other Publicly-Owned or Privately Chartered Corporation","Callaway","NE","2024","3",,,"0",,,,,"38,113",,,,"740",,,,,,,,,,,"1,669",,"1,458",,
"77089","Jones County, dba: Jones County Jets","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Anamosa","IA","2024","9",,,"0",,,,,"212,016",,,,"23,946",,,,,,,,,,,"16,802",,"9,625",,
"77090","Benton County, dba: Benton County Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Vinton","IA","2024","11",,,"0",,,,,"158,922",,,,"7,386",,,,,,,,,,,"16,582",,"4,981",,
"77091","Washington County, dba: Washington County Mini Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Washington","IA","2024","14",,,"0",,,,,"181,624",,,,"27,481",,,,,,,,,,,"50,266",,"7,321",,
"77092","Iowa County, dba: Iowa County Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Marengo","IA","2024","9",,,"0",,,,,"156,091",,,,"9,622",,,,,,,,,,,"37,571",,"13,938",,
"77093","St. Francis Services, LLC, dba: JOYRIDE Public Transit","Rural Reporter","Private-Non-Profit Corporation","West Point","NE","2024","3",,,"0",,,,,"22,239",,,,"578",,,,,,,,,,,"1,477",,"138",,
"77094","Community Health Center of Southeast Kansas Inc, dba: CareVan","Rural Reporter","Private-Non-Profit Corporation","Pittsburg","KS","2024","10",,,"0",,,,,"138,333",,,,"9,127",,,,,,,,,,,"12,716",,"4,031",,
"80001","Utah Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Salt Lake City","UT","2024","1,054","78499","Salt Lake City, UT","300.42","1,178,533","607","2,539,272","44,787,266","41,469,047","3,318,219","28,295,666","2,600,896","2,419,374","181,522",,,,"4,345,412","4,297,900","47,512","220,083","211,867","8,216","40,502,990","366,096",,"314,284,333","281.4"
"80002","City of Sioux Falls, dba: Sioux Area Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","Sioux Falls","SD","2024","36","82252","Sioux Falls, SD","67.9","194,283","65","192,517","1,079,483","991,675","87,808","551,731","94,693","82,562","12,131",,,,,,,,,,"578,652","54,247",,"1,943,588",
"80003","City of Fargo, dba: Metropolitan Area Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Fargo","ND","2024","40","29089","Fargo, ND--MN","77.73","216,214","45","173,588","1,280,360","1,218,793","61,567","819,894","105,672","100,442","5,230","0","0",,,,,,,,"946,096","60,205","0","3,249,409",
"80004","City of Billings, dba: Billings Metropolitan Transit System","Full Reporter","City, County or Local Government Unit or Department of Transportation","Billings","MT","2024","27","07705","Billings, MT","54.7","128,787","45","117,116","1,075,895","974,707","101,188","791,896","69,815","63,903","5,912","0","0",,,,,,,,"429,393","23,333","20,679","1,720,100",
"80005","City of Colorado Springs, dba: Mountain Metropolitan Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Colorado Springs","CO","2024","103","18856","Colorado Springs, CO","200.36","632,494","131","417,875","4,549,828","4,200,277","350,613","3,407,868","333,835","314,057","19,839","0","0",,,,,,,,"3,011,152","122,214","0","9,950,261",
"80006","Denver Regional Transportation District, dba: RTD-Denver","Full Reporter","Independent Public Agency or Authority of Transit Service","Denver","CO","2024","1,011","23527","Denver--Aurora, CO","644.54","2,686,147","2,342","3,098,079","52,721,187","46,371,387","6,349,800","40,624,906","3,853,847","3,449,786","404,061","0","0",,"5,054,956","4,841,611","213,345","342,112","324,315","17,797","64,291,997","511,697",,"380,001,781","237.84"
"80007","City of Pueblo, dba: Pueblo Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Pueblo","CO","2024","26","72613","Pueblo, CO","54.7","120,642","39","113,460","809,546","777,693","31,853","543,564","60,296","57,253","3,043",,,,,,,,,,"606,813","46,999",,"2,207,127",
"80008","City of Grand Forks","Full Reporter","City, County or Local Government Unit or Department of Transportation","Grand Forks","ND","2024","24","34219","Grand Forks, ND--MN","26.48","68,160","35","68,224","644,263","597,096","47,167","385,094","61,167","57,995","3,172",,,,,,,,,,"338,965","56,695",,"986,066",
"80009","Missoula Urban Transportation District, dba: Mountain Line","Full Reporter","Independent Public Agency or Authority of Transit Service","Missoula","MT","2024","37","57736","Missoula, MT","44.29","88,109","70","76,955","1,316,703","1,262,105","54,598","923,067","109,182","103,662","5,520","0","0",,,,,,,,"1,298,724","74,158","0","5,922,054",
"80010","Greeley, City Of, dba: Greeley Evans Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Greeley","CO","2024","30","34786","Greeley, CO","37.3","137,222","36","139,706",,"736,345",,,,"52,961",,,,,,,,,,,"768,550",,"0",,
"80011","City of Fort Collins, dba: Transfort","Full Reporter","City, County or Local Government Unit or Department of Transportation","Fort Collins","CO","2024","47","30628","Fort Collins, CO","117.98","326,332","54","170,376","1,554,037","1,631,827","143,588","1,408,907","114,683","126,269","6,319","194","0",,,,,,,,"2,651,954","33,022","0","8,303,535","15.7"
"80012","Great Falls Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","Great Falls","MT","2024","24","34759","Great Falls, MT","30.3","67,097","20","64,735","777,497","712,660","64,837","433,536","61,162","56,803","4,359","0","0",,,,,,,,"421,377","57,749","0","1,698,214",
"80013","City of Casper, dba: Casper Area Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Casper","WY","2024","24","14482","Casper, WY","27.88","67,751","27","57,561",,"353,392",,,,"29,218",,,,,,,,,,,"163,049",,"0",,
"80014","City of Rapid City, dba: Rapid Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Rapid City","SD","2024","18","73396","Rapid City, SD","50.33","85,679","56","82,418",,"484,540",,,,"39,229",,,,,,,,,,,"254,305",,"0",,
"80015","Shoshone and Arapaho Tribes , dba: Shoshone Arapaho Tribal Transit","Reduced Reporter","Tribe","Fort Washakie","WY","2024","5","00056","Wyoming Non-UZA","0","429,850",,,,"142,359",,,,"3,672",,,,,,,,,,,"4,923",,"0",,
"80016","County of Mesa, dba: Grand Valley Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Grand Junction","CO","2024","19","34273","Grand Junction, CO","75.61","135,973","69","119,423",,"956,078",,,,"63,392",,,,,,,,,,,"631,275",,"0",,
"80018","Fort Peck Tribes , dba: Fort Peck Transit Dial-A-Ride","Reduced Reporter","Tribe","Wolf Point","MT","2024","10","00030","Montana Non-UZA","0","688,772",,,,"145,423",,,,"6,505",,,,,,,,,,,"24,582",,"0",,
"80019","Bis-Man Transit Board, dba: Bis-Man Transit","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Bismarck","ND","2024","24","07921","Bismarck, ND","41.85","98,198","56","103,265",,"805,438",,,,"55,108",,,,,,,,,,,"211,745",,"24,426",,
"80020","The City of Cheyenne, dba: Cheyenne Transit Program","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Cheyenne","WY","2024","14","16237","Cheyenne, WY","33.87","79,250","18","64,610",,"359,255",,,,"26,111",,,,,,,,,,,"110,500",,"884",,
"80025","City of Loveland, Colorado, dba: City of Loveland Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Loveland","CO","2024","10","30628","Fort Collins, CO","117.98","326,332","46","79,352","424,229","477,071","12,858","414,299","23,863","28,411","689","0","0",,,,,,,,"141,026","11,043",,"567,984",
"80026","City of St. George, dba: SunTran","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Saint George","UT","2024","10","77446","St. George, UT","61.03","134,109","47","94,600",,"440,677",,,,"30,755",,,,,,,,,,,"377,184",,"0",,
"80028","Cache Valley Transit District, dba: Connect Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","North Logan","UT","2024","33","50959","Logan, UT","47.72","113,927","33","117,065","1,378,685","1,320,697","57,988","1,134,121","93,683","89,159","4,524","62","0",,,,,,,,"1,495,652","31,009",,"4,673,674",
"80106","North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo","Full Reporter","MPO, COG or Other Planning Agency","Fort Collins","CO","2024","22","30628","Fort Collins, CO","117.98","326,332","56","143,986","395,365","395,365","0",,"7,886","7,886","0",,,,,,,,,,"16,508",,,"767,717",
"80107","University of Montana, dba: ASUM Transportation","Full Reporter","University","Missoula","MT","2024","5","57736","Missoula, MT","44.29","88,109","10","40,948","65,724","64,996","728","65,781","6,384","6,243","141","527","0",,,,,,,,"148,142",,,"281,470",
"80109","Denver Regional Council of Governments","Full Reporter","MPO, COG or Other Planning Agency","Denver","CO","2024","78","23527","Denver--Aurora, CO","644.54","2,686,147","461","2,887,496","1,432,594","1,432,594","0",,"30,459","30,459","0","0","0",,,,,,,,"122,249",,,"5,386,956",
"80110","Fargo Park District , dba: Valley Senior Services","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Fargo","ND","2024","23","29089","Fargo, ND--MN","77.73","216,214","7,243","220,414",,"326,199",,,,"26,776",,,,,,,,,,,"41,084",,"0",,
"80112","SESDAC, Inc , dba: Vermillion Public Transit","Rural Reporter","Private-Non-Profit Corporation","Vermillion","SD","2024","5",,,"0",,,,,"42,592",,,,"4,350",,,,,,,,,,,"31,801",,"22,032",,
"80114","Stark County Council on Aging / Elder Care , dba: Dickinson Public Transit","Rural Reporter","Private-Non-Profit Corporation","Dickinson","ND","2024","13",,,"0",,,,,"227,972",,,,"21,382",,,,,,,,,,,"52,515",,"9,648",,
"80115","Prowers County, dba: Prowers Area Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Lamar","CO","2024","5",,,"0",,,,,"74,356",,,,"6,370",,,,,,,,,,,"22,613",,"0",,
"80116","City of Mitchell, dba: Palace Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mitchell","SD","2024","12",,,"0",,,,,"188,031",,,,"20,171",,,,,,,,,,,"89,858",,"13,557",,
"80117","Garfield County , dba: Big Dry Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Jordan","MT","2024","4",,,"0",,,,,"59,078",,,,"2,335",,,,,,,,,,,"6,403",,"0",,
"80119","City of Black Hawk, dba: The Black Hawk & Central City Tramway","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Black Hawk","CO","2024","3",,,"0",,,,,"66,518",,,,"8,850",,,,,,,,,,,"147,361",,,,
"80120","South Big Horn Senior Citizens, Inc., dba: South Big Horn Senior Citizens Center","Rural Reporter","Private-Non-Profit Corporation","Greybull","WY","2024","4",,,"0",,,,,"22,121",,,,"946",,,,,,,,,,,"3,369",,"0",,
"80121","Fremont County Association of Governments, dba: Wind River Transportation Authority","Rural Reporter","MPO, COG or Other Planning Agency","Riverton","WY","2024","9",,,"0",,,,,"295,288",,,,"10,986",,,,,,,,,,,"28,658",,"0",,
"80122","Devils Lake, dba: Devils Lake Transit","Rural Reporter","Private-Non-Profit Corporation","Devils Lake","ND","2024","6",,,"0",,,,,"47,804",,,,"6,584",,,,,,,,,,,"23,872",,"6,118",,
"80124","James River Senior Citizens Center, Inc., dba: JRSC Center & Public Transit","Rural Reporter","Private-Non-Profit Corporation","Jamestown","ND","2024","10",,,"0",,,,,"140,133",,,,"13,430",,,,,,,,,,,"44,757",,"7,599",,
"80125","South Central Adult Services","Rural Reporter","Private-Non-Profit Corporation","Valley City","ND","2024","49",,,"0",,,,,"1,082,341",,,,"62,134",,,,,,,,,,,"101,592",,"11,338",,
"80126","City of Aberdeen, dba: Ride Line Transportation Services","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Aberdeen","SD","2024","15",,,"0",,,,,"191,939",,,,"18,921",,,,,,,,,,,"66,369",,"3,819",,
"80129","Pembina County Meals and Transportation","Rural Reporter","Private-Non-Profit Corporation","Drayton","ND","2024","5",,,"0",,,,,"104,043",,,,"5,386",,,,,,,,,,,"6,967",,"1,926",,
"80130","Dickey County Senior Citizens, dba: Dickey County Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Ellendale","ND","2024","4",,,"0",,,,,"24,167",,,,"2,985",,,,,,,,,,,"5,555",,"0",,
"80132","Crook County Senior Services, Inc.","Rural Reporter","Private-Non-Profit Corporation","Sundance","WY","2024","6",,,"0",,,,,"62,250",,,,"2,673",,,,,,,,,,,"2,440",,"0",,
"80134","Liberty County , dba: Liberty County Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Chester","MT","2024","3",,,"0",,,,,"22,332",,,,"3,872",,,,,,,,,,,"6,189",,"0",,
"80135","Carter County, dba: Carter Charter","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Ekalaka","MT","2024","2",,,"0",,,,,"57,979",,,,"1,687",,,,,,,,,,,"1,368",,"0",,
"80137","Helena, City of, dba: Capital Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Helena","MT","2024","13","38161","Helena, MT","31.68","52,380","18","36,682",,"170,323",,,,"13,242",,,,,,,,,,,"53,562",,"0",,
"80139","Rosebud Health Care Center","Rural Reporter","Private-Non-Profit Corporation","Forsyth","MT","2024","3",,,"0",,,,,"47,800",,,,"2,036",,,,,,,,,,,"3,266",,"0",,
